"rt","PosX","PosY","hit","trial_dur","trialStart","changeOnset","key_time","first_image","second_image","image_duration","mask_duration","change_onset_alt","trial_index","sbj_id","cond"
1418.5,913.408,227.328,true,2805.4000000003725,211578.59999999963,211901.5,213320,"example_a.jpg","example_b.jpg",240,80,1,5,"101378",3
822.5,452.608,604.16,true,1650.0999999996275,243932.80000000075,244255,245077.5,"Scene43_CON.png","Scene43_SEM.png",240,80,1,18,"101378",3
991.1999999992549,385.024,583.68,true,3096.199999999255,233142.80000000075,234431.90000000037,235423.09999999963,"Scene24_CON.png","Scene24_SEM.png",240,80,4,12,"101378",3
771.5999999996275,190.464,589.824,true,1624.0999999996275,258231.70000000112,258554.80000000075,259326.40000000037,"Scene45_CON.png","Scene45_SEM.png",240,80,1,24,"101378",3
574.6999999992549,632.832,438.272,true,1352,300392.4000000004,300715.2000000011,301289.9000000004,"Scene44_CON.png","Scene44_SEM.png",240,80,1,39,"101378",3
2720.699999999255,905.216,526.336,true,4217.799999998882,329190.7000000011,329833.30000000075,332554,"Scene59_CON.png","Scene59_SEM.png",240,80,2,54,"101378",3
1386.4000000003725,520.192,462.848,true,3089.5,349268.0999999996,350232.9000000004,351619.30000000075,"Scene6_CON.png","Scene6_SEM.png",240,80,3,63,"101378",3
1124.699999999255,575.488,475.136,true,2832.699999999255,370267.2000000011,371231.4000000004,372356.0999999996,"Scene12_CON.png","Scene12_SEM.png",240,80,3,75,"101378",3
458.5,217.088,491.52,true,1554.5,385959,386281.4000000004,386739.9000000004,"Scene40_CON.png","Scene40_SEM.png",240,80,1,84,"101378",3
502.40000000037253,841.728,573.44,true,1459.8999999985099,424775.2000000011,425097.5999999996,425600,"Scene38_CON.png","Scene38_SEM.png",240,80,1,105,"101378",3
629.9000000003725,702.464,464.896,true,2504.300000000745,437895,439181.30000000075,439811.2000000011,"Scene17_CON.png","Scene17_SEM.png",240,80,4,114,"101378",3
