RootScene,MorphScene,Patch,Meaning,Saliency,Attention,Weighted_Meaning,Weighted_Saliency,MeaningSaliencyDiff,Patch_X,Patch_Y,type
target_AtticStorage.png,target_AtticStorage_HighMean.png,40,1.249,0.987,2.168,1.197,1.040,0.262,299.500,299.000,HighMean
target_AtticStorage.png,target_AtticStorage_HighSal.png,32,0.854,1.390,0.623,0.961,1.283,-0.536,639.500,214.000,HighSal
target_acquarium.png,target_acquarium_HighMean.png,30,1.148,0.536,1.089,1.025,0.658,0.612,469.500,214.000,HighMean
target_acquarium.png,target_acquarium_HighSal.png,45,1.396,1.990,0.715,1.515,1.871,-0.593,724.500,299.000,HighSal
target_airport.png,target_airport_HighMean.png,78,1.896,0.846,0.938,1.686,1.056,1.050,469.500,554.000,HighMean
target_airport.png,target_airport_HighSal.png,62,0.213,1.807,1.139,0.532,1.488,-1.594,129.500,469.000,HighSal
target_amusementpark.png,target_amusementpark_HighMean.png,52,1.458,1.313,0.992,1.429,1.342,0.145,299.500,384.000,HighMean
target_amusementpark.png,target_amusementpark_HighSal.png,70,0.818,1.998,0.610,1.054,1.762,-1.179,809.500,469.000,HighSal
target_artstudio.png,target_artstudio_HighMean.png,57,1.253,0.405,0.207,1.084,0.575,0.848,724.500,384.000,HighMean
target_artstudio.png,target_artstudio_HighSal.png,64,1.102,1.752,0.360,1.232,1.622,-0.649,299.500,469.000,HighSal
target_atticRoom.png,target_atticRoom_HighMean.png,64,1.157,0.678,1.295,1.061,0.774,0.479,299.500,469.000,HighMean
target_atticRoom.png,target_atticRoom_HighSal.png,70,0.868,1.654,0.896,1.025,1.497,-0.787,809.500,469.000,HighSal
target_backyard.png,target_backyard_HighMean.png,51,1.263,1.058,2.110,1.222,1.099,0.205,214.500,384.000,HighMean
target_backyard.png,target_backyard_HighSal.png,40,1.250,1.705,1.528,1.341,1.614,-0.455,299.500,299.000,HighSal
target_bakery.png,target_bakery_HighMean.png,57,1.588,1.350,1.369,1.540,1.397,0.238,724.500,384.000,HighMean
target_bakery.png,target_bakery_HighSal.png,81,0.934,1.362,1.127,1.019,1.276,-0.428,724.500,554.000,HighSal
target_barn.png,target_barn_HighMean.png,63,1.159,0.359,0.432,0.999,0.519,0.799,214.500,469.000,HighMean
target_barn.png,target_barn_HighSal.png,45,0.881,2.163,1.320,1.138,1.907,-1.282,724.500,299.000,HighSal
target_bathroom.png,target_bathroom_HighMean.png,78,1.335,0.117,0.394,1.091,0.360,1.218,469.500,554.000,HighMean
target_bathroom.png,target_bathroom_HighSal.png,63,0.603,1.595,0.329,0.802,1.397,-0.992,214.500,469.000,HighSal
target_beach.png,target_beach_HighMean.png,64,1.631,1.224,1.775,1.549,1.305,0.407,299.500,469.000,HighMean
target_beach.png,target_beach_HighSal.png,45,1.229,2.026,0.221,1.388,1.866,-0.796,724.500,299.000,HighSal
target_bedroom.png,target_bedroom_HighMean.png,45,1.191,0.813,0.665,1.116,0.889,0.378,724.500,299.000,HighMean
target_bedroom.png,target_bedroom_HighSal.png,63,0.574,1.341,0.542,0.728,1.187,-0.766,214.500,469.000,HighSal
target_buffet.png,target_buffet_HighMean.png,30,1.266,0.425,0.515,1.098,0.593,0.841,469.500,214.000,HighMean
target_buffet.png,target_buffet_HighSal.png,81,0.744,1.620,0.943,0.919,1.445,-0.875,724.500,554.000,HighSal
target_busstop.png,target_busstop_HighMean.png,57,1.787,0.933,0.628,1.616,1.104,0.854,724.500,384.000,HighMean
target_busstop.png,target_busstop_HighSal.png,32,0.856,2.664,-0.097,1.218,2.303,-1.809,639.500,214.000,HighSal
target_campsite.png,target_campsite_HighMean.png,52,1.171,0.861,0.906,1.109,0.923,0.310,299.500,384.000,HighMean
target_campsite.png,target_campsite_HighSal.png,80,1.107,2.064,1.088,1.298,1.872,-0.957,639.500,554.000,HighSal
target_canal.png,target_canal_HighMean.png,30,1.345,0.780,0.903,1.232,0.893,0.564,469.500,214.000,HighMean
target_canal.png,target_canal_HighSal.png,39,1.026,1.604,0.803,1.141,1.488,-0.578,214.500,299.000,HighSal
target_canyon.png,target_canyon_HighMean.png,31,1.498,0.353,1.408,1.269,0.582,1.145,554.500,214.000,HighMean
target_canyon.png,target_canyon_HighSal.png,39,0.509,1.356,-0.129,0.678,1.186,-0.846,214.500,299.000,HighSal
target_cemetery.png,target_cemetery_HighMean.png,52,1.444,1.182,0.699,1.392,1.234,0.263,299.500,384.000,HighMean
target_cemetery.png,target_cemetery_HighSal.png,31,1.015,1.748,0.561,1.161,1.602,-0.733,554.500,214.000,HighSal
target_church.png,target_church_HighMean.png,78,1.758,0.969,2.734,1.600,1.127,0.788,469.500,554.000,HighMean
target_church.png,target_church_HighSal.png,29,0.451,1.455,-0.086,0.652,1.254,-1.004,384.500,214.000,HighSal
target_city.png,target_city_HighMean.png,64,1.383,1.050,0.977,1.316,1.116,0.333,299.500,469.000,HighMean
target_city.png,target_city_HighSal.png,45,0.950,1.729,0.454,1.106,1.573,-0.778,724.500,299.000,HighSal
target_classroom.png,target_classroom_HighMean.png,30,1.091,0.695,1.352,1.012,0.774,0.397,469.500,214.000,HighMean
target_classroom.png,target_classroom_HighSal.png,69,1.185,1.857,1.079,1.320,1.722,-0.671,724.500,469.000,HighSal
target_closet.png,target_closet_HighMean.png,57,1.143,0.364,0.963,0.987,0.520,0.779,724.500,384.000,HighMean
target_closet.png,target_closet_HighSal.png,52,0.812,1.629,-0.035,0.976,1.466,-0.817,299.500,384.000,HighSal
target_clothingstore.png,target_clothingstore_HighMean.png,52,1.277,0.502,0.437,1.122,0.657,0.775,299.500,384.000,HighMean
target_clothingstore.png,target_clothingstore_HighSal.png,80,0.394,1.415,0.542,0.599,1.211,-1.020,639.500,554.000,HighSal
target_coffeeshop.png,target_coffeeshop_HighMean.png,31,1.530,0.652,1.460,1.354,0.828,0.878,554.500,214.000,HighMean
target_coffeeshop.png,target_coffeeshop_HighSal.png,29,0.881,1.484,0.120,1.002,1.364,-0.603,384.500,214.000,HighSal
target_constructionsite.png,target_constructionsite_HighMean.png,30,1.442,0.836,1.332,1.320,0.957,0.606,469.500,214.000,HighMean
target_constructionsite.png,target_constructionsite_HighSal.png,82,0.337,1.451,0.184,0.560,1.228,-1.114,809.500,554.000,HighSal
target_courtroom.png,target_courtroom_HighMean.png,31,1.576,0.443,2.037,1.349,0.670,1.132,554.500,214.000,HighMean
target_courtroom.png,target_courtroom_HighSal.png,58,0.449,1.087,-0.151,0.577,0.959,-0.638,809.500,384.000,HighSal
