RootScene,MorphScene,Patch,Meaning,Saliency,Attention,MeaningSaliencyDiff,MeaningContrast,Patch_X,Patch_Y,possiblePatchesN,type
target_AtticStorage.png,target_AtticStorage_HighMean.png,78,0.480,0.191,-0.373,0.288,0.504,469.500,554.000,6,HighMean
target_AtticStorage.png,target_AtticStorage_LowMean.png,38,-0.024,0.242,0.161,-0.266,0.504,129.500,299.000,6,LowMean
target_acquarium.png,target_acquarium_HighMean.png,80,0.689,0.192,-0.312,0.497,1.275,639.500,554.000,11,HighMean
target_acquarium.png,target_acquarium_LowMean.png,86,-0.586,0.240,-0.451,-0.825,1.275,129.500,639.000,11,LowMean
target_airport.png,target_airport_HighMean.png,91,1.069,0.290,0.160,0.779,1.192,554.500,639.000,7,HighMean
target_airport.png,target_airport_LowMean.png,47,-0.122,0.321,-0.166,-0.443,1.192,894.500,299.000,7,LowMean
target_alley.png,target_alley_HighMean.png,57,1.243,0.300,0.416,0.943,0.891,724.500,384.000,8,HighMean
target_alley.png,target_alley_LowMean.png,21,0.352,0.342,-0.119,0.010,0.891,724.500,129.000,8,LowMean
target_amusementpark.png,target_amusementpark_HighMean.png,90,0.327,0.375,-0.100,-0.048,0.391,469.500,639.000,4,HighMean
target_amusementpark.png,target_amusementpark_LowMean.png,74,-0.064,0.190,0.317,-0.254,0.391,129.500,554.000,4,LowMean
target_arcade.png,target_arcade_HighMean.png,39,0.945,0.339,0.943,0.606,0.840,214.500,299.000,12,HighMean
target_arcade.png,target_arcade_LowMean.png,62,0.106,0.133,0.686,-0.028,0.840,129.500,469.000,12,LowMean
target_artstudio.png,target_artstudio_HighMean.png,45,1.069,0.242,0.393,0.827,1.391,724.500,299.000,8,HighMean
target_artstudio.png,target_artstudio_LowMean.png,74,-0.322,0.202,0.195,-0.524,1.391,129.500,554.000,8,LowMean
target_atticRoom.png,target_atticRoom_HighMean.png,31,0.762,0.294,0.128,0.469,0.755,554.500,214.000,6,HighMean
target_atticRoom.png,target_atticRoom_LowMean.png,28,0.008,0.139,-0.151,-0.132,0.755,299.500,214.000,6,LowMean
target_backyard.png,target_backyard_HighMean.png,81,0.449,0.199,-0.221,0.250,0.692,724.500,554.000,10,HighMean
target_backyard.png,target_backyard_LowMean.png,74,-0.243,0.171,-0.236,-0.414,0.692,129.500,554.000,10,LowMean
target_bakery.png,target_bakery_HighMean.png,32,0.645,0.368,0.180,0.277,0.691,639.500,214.000,12,HighMean
target_bakery.png,target_bakery_LowMean.png,71,-0.045,0.294,-0.523,-0.340,0.691,894.500,469.000,12,LowMean
target_bar.png,target_bar_HighMean.png,32,0.828,0.189,-0.123,0.638,0.928,639.500,214.000,4,HighMean
target_bar.png,target_bar_LowMean.png,38,-0.100,0.256,0.676,-0.356,0.928,129.500,299.000,4,LowMean
target_barn.png,target_barn_HighMean.png,63,1.159,0.359,0.432,0.799,1.459,214.500,469.000,7,HighMean
target_barn.png,target_barn_LowMean.png,35,-0.301,0.378,-0.493,-0.679,1.459,894.500,214.000,7,LowMean
target_bathroom.png,target_bathroom_HighMean.png,79,1.181,0.280,0.495,0.901,1.440,554.500,554.000,7,HighMean
target_bathroom.png,target_bathroom_LowMean.png,26,-0.259,0.193,0.238,-0.452,1.440,129.500,214.000,7,LowMean
target_beach.png,target_beach_HighMean.png,62,0.393,0.288,0.961,0.105,0.557,129.500,469.000,4,HighMean
target_beach.png,target_beach_LowMean.png,22,-0.164,0.256,-0.510,-0.420,0.557,809.500,129.000,4,LowMean
target_bedroom.png,target_bedroom_HighMean.png,81,0.745,0.281,-0.050,0.464,1.063,724.500,554.000,8,HighMean
target_bedroom.png,target_bedroom_LowMean.png,87,-0.318,0.160,-0.394,-0.478,1.063,214.500,639.000,8,LowMean
target_boating_IDS01.png,target_boating_IDS01_HighMean.png,47,0.325,0.361,0.732,-0.036,0.474,894.500,299.000,6,HighMean
target_boating_IDS01.png,target_boating_IDS01_LowMean.png,19,-0.150,0.145,-0.436,-0.295,0.474,554.500,129.000,6,LowMean
target_bridge.png,target_bridge_HighMean.png,45,1.062,0.340,0.868,0.722,1.029,724.500,299.000,4,HighMean
target_bridge.png,target_bridge_LowMean.png,74,0.033,0.351,0.301,-0.318,1.029,129.500,554.000,4,LowMean
target_buffet.png,target_buffet_HighMean.png,29,1.172,0.351,0.336,0.820,1.274,384.500,214.000,6,HighMean
target_buffet.png,target_buffet_LowMean.png,83,-0.102,0.217,0.062,-0.319,1.274,894.500,554.000,6,LowMean
