"x","y","first_image","second_image","rad"
792,384,"Scene1_CON.png","Scene1_SEM.png",43.5
741,384,"Scene1_CON.png","Scene1_SEM.png",43.5
792,333,"Scene1_CON.png","Scene1_SEM.png",43.5
843,384,"Scene1_CON.png","Scene1_SEM.png",43.5
843,333,"Scene1_CON.png","Scene1_SEM.png",43.5
741,333,"Scene1_CON.png","Scene1_SEM.png",43.5
894,537,"Scene2_CON.png","Scene2_SEM.png",43.5
945,537,"Scene2_CON.png","Scene2_SEM.png",43.5
996,537,"Scene2_CON.png","Scene2_SEM.png",43.5
996,486,"Scene2_CON.png","Scene2_SEM.png",43.5
945,486,"Scene2_CON.png","Scene2_SEM.png",43.5
894,435,"Scene2_CON.png","Scene2_SEM.png",43.5
894,486,"Scene2_CON.png","Scene2_SEM.png",43.5
843,486,"Scene2_CON.png","Scene2_SEM.png",43.5
435,384,"Scene3_CON.png","Scene3_SEM.png",43.5
435,333,"Scene3_CON.png","Scene3_SEM.png",43.5
486,333,"Scene3_CON.png","Scene3_SEM.png",43.5
537,333,"Scene3_CON.png","Scene3_SEM.png",43.5
588,333,"Scene3_CON.png","Scene3_SEM.png",43.5
639,333,"Scene3_CON.png","Scene3_SEM.png",43.5
639,384,"Scene3_CON.png","Scene3_SEM.png",43.5
588,384,"Scene3_CON.png","Scene3_SEM.png",43.5
588,435,"Scene3_CON.png","Scene3_SEM.png",43.5
537,435,"Scene3_CON.png","Scene3_SEM.png",43.5
486,384,"Scene3_CON.png","Scene3_SEM.png",43.5
537,384,"Scene3_CON.png","Scene3_SEM.png",43.5
435,78,"Scene4_CON.png","Scene4_SEM.png",43.5
384,78,"Scene4_CON.png","Scene4_SEM.png",43.5
435,27,"Scene4_CON.png","Scene4_SEM.png",43.5
486,27,"Scene4_CON.png","Scene4_SEM.png",43.5
486,78,"Scene4_CON.png","Scene4_SEM.png",43.5
537,78,"Scene4_CON.png","Scene4_SEM.png",43.5
588,78,"Scene4_CON.png","Scene4_SEM.png",43.5
231,435,"Scene5_CON.png","Scene5_SEM.png",43.5
180,486,"Scene5_CON.png","Scene5_SEM.png",43.5
129,486,"Scene5_CON.png","Scene5_SEM.png",43.5
78,486,"Scene5_CON.png","Scene5_SEM.png",43.5
78,435,"Scene5_CON.png","Scene5_SEM.png",43.5
78,384,"Scene5_CON.png","Scene5_SEM.png",43.5
129,333,"Scene5_CON.png","Scene5_SEM.png",43.5
180,333,"Scene5_CON.png","Scene5_SEM.png",43.5
231,384,"Scene5_CON.png","Scene5_SEM.png",43.5
180,384,"Scene5_CON.png","Scene5_SEM.png",43.5
129,384,"Scene5_CON.png","Scene5_SEM.png",43.5
129,435,"Scene5_CON.png","Scene5_SEM.png",43.5
180,435,"Scene5_CON.png","Scene5_SEM.png",43.5
537,486,"Scene6_CON.png","Scene6_SEM.png",43.5
588,486,"Scene6_CON.png","Scene6_SEM.png",43.5
588,435,"Scene6_CON.png","Scene6_SEM.png",43.5
537,435,"Scene6_CON.png","Scene6_SEM.png",43.5
741,384,"Scene7_CON.png","Scene7_SEM.png",43.5
792,384,"Scene7_CON.png","Scene7_SEM.png",43.5
843,384,"Scene7_CON.png","Scene7_SEM.png",43.5
843,333,"Scene7_CON.png","Scene7_SEM.png",43.5
894,384,"Scene7_CON.png","Scene7_SEM.png",43.5
894,435,"Scene7_CON.png","Scene7_SEM.png",43.5
945,435,"Scene7_CON.png","Scene7_SEM.png",43.5
996,435,"Scene7_CON.png","Scene7_SEM.png",43.5
843,435,"Scene7_CON.png","Scene7_SEM.png",43.5
333,384,"Scene8_CON.png","Scene8_SEM.png",43.5
384,384,"Scene8_CON.png","Scene8_SEM.png",43.5
435,384,"Scene8_CON.png","Scene8_SEM.png",43.5
486,384,"Scene8_CON.png","Scene8_SEM.png",43.5
537,384,"Scene8_CON.png","Scene8_SEM.png",43.5
588,384,"Scene8_CON.png","Scene8_SEM.png",43.5
639,435,"Scene8_CON.png","Scene8_SEM.png",43.5
690,384,"Scene8_CON.png","Scene8_SEM.png",43.5
639,384,"Scene8_CON.png","Scene8_SEM.png",43.5
690,435,"Scene8_CON.png","Scene8_SEM.png",43.5
741,435,"Scene8_CON.png","Scene8_SEM.png",43.5
792,486,"Scene8_CON.png","Scene8_SEM.png",43.5
792,435,"Scene8_CON.png","Scene8_SEM.png",43.5
843,537,"Scene8_CON.png","Scene8_SEM.png",43.5
741,486,"Scene8_CON.png","Scene8_SEM.png",43.5
690,486,"Scene8_CON.png","Scene8_SEM.png",43.5
639,486,"Scene8_CON.png","Scene8_SEM.png",43.5
588,486,"Scene8_CON.png","Scene8_SEM.png",43.5
588,435,"Scene8_CON.png","Scene8_SEM.png",43.5
537,435,"Scene8_CON.png","Scene8_SEM.png",43.5
486,435,"Scene8_CON.png","Scene8_SEM.png",43.5
435,435,"Scene8_CON.png","Scene8_SEM.png",43.5
384,435,"Scene8_CON.png","Scene8_SEM.png",43.5
333,435,"Scene8_CON.png","Scene8_SEM.png",43.5
792,129,"Scene9_CON.png","Scene9_SEM.png",43.5
843,129,"Scene9_CON.png","Scene9_SEM.png",43.5
894,78,"Scene9_CON.png","Scene9_SEM.png",43.5
843,27,"Scene9_CON.png","Scene9_SEM.png",43.5
792,78,"Scene9_CON.png","Scene9_SEM.png",43.5
843,78,"Scene9_CON.png","Scene9_SEM.png",43.5
231,333,"Scene10_CON.png","Scene10_SEM.png",43.5
231,282,"Scene10_CON.png","Scene10_SEM.png",43.5
231,231,"Scene10_CON.png","Scene10_SEM.png",43.5
282,231,"Scene10_CON.png","Scene10_SEM.png",43.5
333,231,"Scene10_CON.png","Scene10_SEM.png",43.5
333,282,"Scene10_CON.png","Scene10_SEM.png",43.5
282,282,"Scene10_CON.png","Scene10_SEM.png",43.5
282,333,"Scene10_CON.png","Scene10_SEM.png",43.5
333,333,"Scene10_CON.png","Scene10_SEM.png",43.5
333,588,"Scene11_CON.png","Scene11_SEM.png",43.5
384,588,"Scene11_CON.png","Scene11_SEM.png",43.5
435,588,"Scene11_CON.png","Scene11_SEM.png",43.5
435,639,"Scene11_CON.png","Scene11_SEM.png",43.5
486,690,"Scene11_CON.png","Scene11_SEM.png",43.5
435,690,"Scene11_CON.png","Scene11_SEM.png",43.5
384,690,"Scene11_CON.png","Scene11_SEM.png",43.5
333,741,"Scene11_CON.png","Scene11_SEM.png",43.5
282,690,"Scene11_CON.png","Scene11_SEM.png",43.5
333,690,"Scene11_CON.png","Scene11_SEM.png",43.5
333,639,"Scene11_CON.png","Scene11_SEM.png",43.5
384,639,"Scene11_CON.png","Scene11_SEM.png",43.5
486,537,"Scene12_CON.png","Scene12_SEM.png",43.5
486,486,"Scene12_CON.png","Scene12_SEM.png",43.5
537,486,"Scene12_CON.png","Scene12_SEM.png",43.5
537,435,"Scene12_CON.png","Scene12_SEM.png",43.5
