"x","y","first_image","second_image","rad","delay1","delay2","delay3","delay4","delay5"
792,384,"Scene1_CON.png","Scene1_SEM.png",43.5,0,1000,2000,3000,4000
741,384,"Scene1_CON.png","Scene1_SEM.png",43.5,0,1000,2000,3000,4000
792,333,"Scene1_CON.png","Scene1_SEM.png",43.5,0,1000,2000,3000,4000
843,384,"Scene1_CON.png","Scene1_SEM.png",43.5,0,1000,2000,3000,4000
843,333,"Scene1_CON.png","Scene1_SEM.png",43.5,0,1000,2000,3000,4000
741,333,"Scene1_CON.png","Scene1_SEM.png",43.5,0,1000,2000,3000,4000
894,537,"Scene2_CON.png","Scene2_SEM.png",43.5,0,1000,2000,3000,4000
945,537,"Scene2_CON.png","Scene2_SEM.png",43.5,0,1000,2000,3000,4000
996,537,"Scene2_CON.png","Scene2_SEM.png",43.5,0,1000,2000,3000,4000
996,486,"Scene2_CON.png","Scene2_SEM.png",43.5,0,1000,2000,3000,4000
945,486,"Scene2_CON.png","Scene2_SEM.png",43.5,0,1000,2000,3000,4000
894,435,"Scene2_CON.png","Scene2_SEM.png",43.5,0,1000,2000,3000,4000
894,486,"Scene2_CON.png","Scene2_SEM.png",43.5,0,1000,2000,3000,4000
843,486,"Scene2_CON.png","Scene2_SEM.png",43.5,0,1000,2000,3000,4000
435,384,"Scene3_CON.png","Scene3_SEM.png",43.5,0,1000,2000,3000,4000
435,333,"Scene3_CON.png","Scene3_SEM.png",43.5,0,1000,2000,3000,4000
486,333,"Scene3_CON.png","Scene3_SEM.png",43.5,0,1000,2000,3000,4000
537,333,"Scene3_CON.png","Scene3_SEM.png",43.5,0,1000,2000,3000,4000
588,333,"Scene3_CON.png","Scene3_SEM.png",43.5,0,1000,2000,3000,4000
639,333,"Scene3_CON.png","Scene3_SEM.png",43.5,0,1000,2000,3000,4000
639,384,"Scene3_CON.png","Scene3_SEM.png",43.5,0,1000,2000,3000,4000
588,384,"Scene3_CON.png","Scene3_SEM.png",43.5,0,1000,2000,3000,4000
588,435,"Scene3_CON.png","Scene3_SEM.png",43.5,0,1000,2000,3000,4000
537,435,"Scene3_CON.png","Scene3_SEM.png",43.5,0,1000,2000,3000,4000
486,384,"Scene3_CON.png","Scene3_SEM.png",43.5,0,1000,2000,3000,4000
537,384,"Scene3_CON.png","Scene3_SEM.png",43.5,0,1000,2000,3000,4000
435,78,"Scene4_CON.png","Scene4_SEM.png",43.5,0,1000,2000,3000,4000
384,78,"Scene4_CON.png","Scene4_SEM.png",43.5,0,1000,2000,3000,4000
435,27,"Scene4_CON.png","Scene4_SEM.png",43.5,0,1000,2000,3000,4000
486,27,"Scene4_CON.png","Scene4_SEM.png",43.5,0,1000,2000,3000,4000
486,78,"Scene4_CON.png","Scene4_SEM.png",43.5,0,1000,2000,3000,4000
537,78,"Scene4_CON.png","Scene4_SEM.png",43.5,0,1000,2000,3000,4000
588,78,"Scene4_CON.png","Scene4_SEM.png",43.5,0,1000,2000,3000,4000
231,435,"Scene5_CON.png","Scene5_SEM.png",43.5,0,1000,2000,3000,4000
180,486,"Scene5_CON.png","Scene5_SEM.png",43.5,0,1000,2000,3000,4000
129,486,"Scene5_CON.png","Scene5_SEM.png",43.5,0,1000,2000,3000,4000
78,486,"Scene5_CON.png","Scene5_SEM.png",43.5,0,1000,2000,3000,4000
78,435,"Scene5_CON.png","Scene5_SEM.png",43.5,0,1000,2000,3000,4000
78,384,"Scene5_CON.png","Scene5_SEM.png",43.5,0,1000,2000,3000,4000
129,333,"Scene5_CON.png","Scene5_SEM.png",43.5,0,1000,2000,3000,4000
180,333,"Scene5_CON.png","Scene5_SEM.png",43.5,0,1000,2000,3000,4000
231,384,"Scene5_CON.png","Scene5_SEM.png",43.5,0,1000,2000,3000,4000
180,384,"Scene5_CON.png","Scene5_SEM.png",43.5,0,1000,2000,3000,4000
129,384,"Scene5_CON.png","Scene5_SEM.png",43.5,0,1000,2000,3000,4000
129,435,"Scene5_CON.png","Scene5_SEM.png",43.5,0,1000,2000,3000,4000
180,435,"Scene5_CON.png","Scene5_SEM.png",43.5,0,1000,2000,3000,4000
537,486,"Scene6_CON.png","Scene6_SEM.png",43.5,0,1000,2000,3000,4000
588,486,"Scene6_CON.png","Scene6_SEM.png",43.5,0,1000,2000,3000,4000
588,435,"Scene6_CON.png","Scene6_SEM.png",43.5,0,1000,2000,3000,4000
537,435,"Scene6_CON.png","Scene6_SEM.png",43.5,0,1000,2000,3000,4000
741,384,"Scene7_CON.png","Scene7_SEM.png",43.5,0,1000,2000,3000,4000
